"ACRONIMO";"Columna1";"Observaciones";
"CCS";"Centro de comunicaciones Secundario";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"CCU";"Centro Cooperativista Uruguayo";;
"CDU";"Convergencia Democrática del Uruguay";;"BAF 120"
"CECOMAPA";"Centro Coordinador de Misiones de Paz de la Armada";"CECOMAPA N10";"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"CECOMAPA";"Centro Coordinador de Misiones de Paz de la Armada";;"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"CECOPRE";"Centro de Comunicaciones";;
"CEDAS";"CEntro Docente ASociado";"Eela de Graduados de Medicina";
"CEDIMEN";;;
"CEHIS";"Centro de Estudios Históricos";;
"CEHIS";"Centro Histórico y Museo Naval";;"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"CEHIS";"Centro de Estudios Históricos Navales y Marítimos.
";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CEIBO – 1";"Director del SID";;
"CEIBO – SID";;;
"CESUB";"Centro de Suboficiales Navales";"Instituciones Sociales";
"CESUB";"Presidente del Centro de Sub Oficiales Navales.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CETEL";"[Central telefónica]";;
"CG";"Cuerpo General";;
"CGA";"Comando General de la Armada";;
"CGA";"Comprobación General de Agencia";"INFORME DE INVESTIGACIÓN N.º 01/3174 (punto 3 ALCANCE)";
"CGA";"[Contaduria General de la Armada]";;
"CGE";"Comando General del Ejército";;
"CGIOR";"Centro General de Instrucción para Oficiales de Reserva.";;
"CHCP";"Constancia Habilitación Cargos Públicos (Dto. I – SID R547-855)";;
"CI";"Comunicado Interno";;
